reep_id,sofascore_id
reep_pe3ff10fd,966869
reep_p41055611,863653
reep_pfe462b4c,1118429
reep_p2d857678,1114497
reep_p19c4ee65,583896
reep_pc833661e,1194333
reep_p2b76c109,1103589
reep_pdd8492c2,897882
reep_pf8b29ef4,881831
reep_p1fb8d2c9,915991
reep_p279f09e9,867179
reep_p46afc5ad,1000465
reep_p4fb34be7,178963
reep_p13b9354c,814594
reep_p456cf673,963801
reep_pba6af6c0,1094482
reep_p26cf30b8,250737
reep_pd9684081,846413
reep_p9767d852,1102503
reep_p3a659677,880622
reep_p0fee376c,936542
reep_pe890824a,1381227
reep_p4a0f98b7,1177807
reep_pf12e717d,1101887
reep_p61b5251d,547494
reep_p54ec7f9a,847938
reep_p71162930,981574
reep_p4283e8eb,1631451
reep_p6bdc6def,794541
reep_pc42a8a38,1148402
reep_p54decf8d,822729
reep_pfc3ab4c0,1122552
reep_p5032b85d,83951
reep_p12ae231e,790108
reep_pb194d9de,1142251
reep_p994548a1,1155423
reep_p26ef1adf,1167312
reep_pb27b081e,1184541
reep_pcf238e61,84854
reep_pf7082d0b,980916
reep_p87829862,823941
reep_pd06768b2,978062
reep_p3c896dcd,282073
reep_p2f6a8b35,309078
reep_p1e4a15ca,1403491
reep_p56a2d6e2,1546739
reep_peef6571d,895324
reep_pfaf09064,901891
reep_p7d400cf2,815637
reep_p9c240863,919027
reep_pab166a78,1464637
reep_pe29e5d2c,1010010
reep_pf66fd354,791368
reep_pc3a8901b,1066729
reep_p9aa651f4,818667
reep_pb0b77308,932486
reep_p6ded620b,980728
reep_p635d7840,834492
reep_p0e3aedd0,791374
reep_p5b501f15,331837
reep_pf203c112,243609
reep_p16098409,984419
reep_pc13396b7,796501
reep_p1176a996,971037
reep_p7813ca1f,923973
reep_p833e2afa,1102791
reep_p578e7f8f,1129610
reep_p805e7833,1019495
reep_p0afe70f2,859026
reep_p2410b1dd,795421
reep_pe8badf76,905472
reep_p261fcb6c,961684
reep_pb75c924a,1100952
reep_p28c155fa,67647
reep_p3b3fcb8d,262911
reep_p93503e80,841802
reep_p9eee65c1,546416
reep_p41a22226,1086223
reep_pfe1a21a8,881844
reep_p95557037,901882
reep_p702cb492,227946
reep_p8618b503,1006147
reep_p9382b44e,1218066
reep_pa8149dbd,37318
reep_pa7e27407,979232
reep_pbc9e47d3,914902
reep_p5ff38f67,840227
reep_p7dd72ef5,803174
reep_pec9a2d72,1121923
reep_p5a25f03f,142622
reep_p6768839c,333261
reep_p66a7f047,156102
reep_pb4da3b62,871886
reep_p54927f03,1091116
reep_p661adab5,1034082
reep_pae06234a,1170977
reep_pe3b8081a,1500291
reep_pb53eafaf,1595162
reep_pb1fd0946,825838
reep_pdb35cfee,988893
reep_p9b12bba2,174975
reep_p7fd33746,965778
reep_p93dedfa2,1493689
reep_p4c033007,796500
reep_p73b327d9,837099
reep_p7fc85d7e,859025
reep_pa7ce8d4d,817979
reep_p193f816c,985823
reep_pa7e6da93,1198374
reep_pd521865d,812999
reep_p39f633e3,1898148
reep_paf4faf3d,873221
reep_pb0441931,1564180
reep_p914aa4e7,1217929
reep_p1269ed87,576220
reep_p4eb33e73,871965
reep_p123f9d3f,793857
reep_p70d435b4,991421
reep_p0e9f9653,122810
reep_pac3da685,239632
reep_p75306a29,994363
reep_p837b3d09,904096
reep_paa7b472e,1568123
reep_p7e0f4861,1154861
reep_pd8c8e495,1122425
reep_p283dc072,918517
reep_p8ba77803,1102659
reep_pb61a9ef7,331209
reep_pabcd2e02,1173223
reep_p3503aa4d,1126569
reep_p20bcb37d,233746
reep_p0f25d2d8,996952
reep_p9c2fd1c1,835485
reep_p88d45984,252885
reep_p34d84246,248331
reep_p8572bb69,352296
reep_p018010b2,973431
reep_p23bbeb1d,932233
reep_p69bedc8f,910048
reep_p814df3a7,1023088
reep_pbb17cf46,288205
reep_p96699430,866469
reep_p6e54e01f,934235
reep_p1c605010,1986794
reep_pc5a6ed27,822753
reep_p2b158e76,358084
reep_pbc346bc8,125787
reep_p5afddd8a,1440948
reep_pbe7681cd,360718
reep_p37832425,794373
reep_p0ae2b14c,1160386
reep_p67585941,985131
reep_p333b07d3,122951
reep_p76073a64,352290
reep_p33f482bd,841793
reep_pd981bea9,1064218
reep_p0209525e,960441
reep_pbcfffd50,1142675
reep_p2f118b86,1014281
reep_pf35010e1,931844
reep_p779e7863,50480
reep_p6434570f,1888002
reep_p36e03b73,787422
reep_p63f37888,817957
reep_pd9c549b2,858977
reep_p2a14d38c,773409
reep_pdcda3e21,862967
reep_p8291cfae,888854
reep_pa6c7c43e,841006
reep_p9f89f769,829932
reep_pb7228cf2,1155625
reep_pc2351c88,750
reep_p44e59e2a,917005
reep_p1418c7dc,887055
reep_p3ea64b81,790179
reep_pc3b0ed4f,115665
reep_p3cc61f0c,905257
reep_p5160238f,818406
reep_pbaad7d70,794338
reep_p17e26737,1155358
reep_pb187eafe,832420
reep_pa74953b9,1015261
reep_pe0550c58,944327
reep_pead4c5f3,789071
reep_pada92435,870360
reep_p0e48554a,1021272
reep_pd2be0b6b,124992
reep_p913fc0c7,1064039
reep_p28ef424e,1173167
reep_pa33dda0f,924871
reep_pa34036ab,66492
reep_p5fc3db07,891442
reep_p08f80184,1031283
reep_p133f0372,856076
reep_p7e18907b,963084
reep_p250820c9,856714
reep_p4b848196,1088727
reep_pefae4a7c,770677
reep_p0dbc72c6,1407720
reep_p32f0aef2,794298
reep_p45f1a47d,802830
reep_pfda6eda1,759520
reep_pa03b55d6,801411
reep_pa739975c,921089
reep_p89d90eef,363782
reep_pb84effc8,1177177
reep_p475023b9,1065588
reep_pd9db1a4b,784677
reep_p4b86f0ce,843115
reep_p555142de,843200
reep_p2648f6cd,945798
reep_p684299b1,799054
reep_p5e3ef796,823631
reep_p619f730d,190419
reep_pbb8951e6,1187376
reep_pee2313a7,803039
reep_p6e4b9de1,358880
reep_p0959d32e,243583
reep_p6e59202e,796023
reep_p76431525,845271
reep_p21e435cd,566102
reep_p03d9a5c5,822110
reep_p08a6d3aa,1154605
reep_p74cd9df2,844447
reep_pd4ba200c,864921
reep_pbd9c51ad,14990
reep_p6858ae0a,797734
reep_p17971d7a,917305
reep_p038ab131,847151
reep_pa070b972,798176
reep_pe8e9051b,1196902
reep_pda417ec8,1471764
reep_p1b89a2e2,791355
reep_p235a690c,862078
reep_p0664da62,945204
reep_p6025cf8d,1130946
reep_pddca2dcb,905267
reep_p80d40353,904424
reep_p69eea9bd,994546
reep_p781d1cda,1383695
reep_pa1d2a6f7,591706
reep_p9bf934cd,40859
reep_p06524fe9,979315
reep_pd35fb3ca,967032
reep_pa1730bc6,158263
reep_pd0d38b00,1013842
reep_p647042e1,1174937
reep_p3bfed1cf,106456
reep_p8a31c14b,974505
reep_p59b70224,1002508
reep_p7a6a59eb,159935
reep_p44eec3a1,944068
reep_paf9e90f4,839956
reep_pe6b3b775,878081
reep_pc1efa8cf,1149353
reep_p69ee42a0,1202024
reep_p727e2cf8,1136110
reep_p9af5da4c,930245
reep_p63056c2e,1022170
reep_p1f926135,981483
reep_pc12b7305,822600
reep_pbb04d219,827679
reep_p4a6a1924,929620
reep_p70f61c27,243585
reep_p22792032,784655
reep_p993da998,860307
reep_pf353f0c3,1192318
reep_p6ea8e970,1445228
reep_p6c6896b4,831808
reep_p68da66cc,976104
reep_pe6304950,907463
reep_p27588517,825844
reep_pf94050a5,28381
reep_pcfc9a129,855833
reep_pe1b957ab,796326
reep_pec81639d,1489210
reep_p94fd984d,1167100
reep_p4c02e4c2,893307
reep_pb8d02be7,919198
reep_p128c711f,1007556
reep_p58f16ed8,186719
reep_p88a166f0,1019322
reep_p0a6d1666,934237
reep_pe39ad9a1,867714
reep_pfdca4ca7,979222
reep_pd28cb759,830431
reep_p70d989c2,359226
reep_pa9f02a5f,851676
reep_pb3ea4000,943278
reep_pbfdef8ac,228364
reep_p08760f6e,795154
reep_p8dc8a619,795222
reep_pea78db32,881848
reep_pc1da9fc8,834308
reep_p75d7e2e4,869792
reep_p331d029c,922573
reep_pab21865d,789453
reep_p40cbcab6,787429
reep_pdccea3af,1103693
reep_p237ff91c,798178
reep_p8b1e73e2,1638338
reep_pcba2c6ce,831781
reep_p3d406536,844942
reep_p6013a3e3,1914576
reep_pbe93cdb7,1111215
reep_pb81da6bd,798835
reep_pc060daf5,989056
reep_pdb88b6fc,1099352
reep_p24fdb9d9,825849
reep_p25bddbeb,822933
reep_p9fda3ab6,937937
reep_p2b066832,934510
reep_p5fec9c95,117777
reep_p237affea,95791
reep_p133194f8,556866
reep_pba9d0a6f,795282
reep_p2c557067,15497
reep_p7824dbd5,311456
reep_pf414e335,965263
reep_pd6921cd2,220833
reep_p0e9fb106,1174889
reep_pfa8f523b,805427
reep_p09978c1e,845798
reep_p4ff00441,1002033
reep_p31f1a056,991200
reep_pbb3ddf5e,1128532
reep_p1698b331,818391
reep_p578d2983,135700
reep_p8650abdb,1961596
reep_p76269eb7,826169
reep_p5f64c365,1009386
reep_p61c9bc00,118085
reep_pe3120016,108579
reep_pe556f3c7,808680
reep_p588f1e17,881837
reep_pcce71d6e,1991585
reep_p5c07dc97,1022374
reep_p62b37e48,588618
reep_p66e73eb3,985923
reep_pb37d26d2,873106
reep_p4bec44e9,1063327
reep_p551a5bbf,846081
reep_p4c29501e,962056
reep_pbe504e94,786186
reep_pd2a6598e,889689
reep_pabf870f4,1094395
reep_p5fcc8a22,1008171
reep_p77703221,920815
reep_p2f586c9d,1407524
reep_pe1689483,1590918
reep_p9870f2cf,826215
reep_p4fd5ea74,106337
reep_pe0a2d512,1019321
reep_pf79fad8a,333625
reep_p56b1f941,1016907
reep_pd05413e9,812997
reep_pee607efc,914309
reep_p38bb2883,1507710
reep_p5d3142e7,991024
reep_p16af8ecc,1157713
reep_pb85aaf83,979861
reep_pc5ff7c03,796328
reep_pc5b1bc5e,1063767
reep_p9dfa793b,897291
reep_p522f59b7,1113488
reep_p71cec28c,1134351
reep_peaa3b6a2,845286
reep_p3a210e9f,989236
reep_pb52bc442,825719
reep_pf0a6c377,1049701
reep_p6f31e1da,38710
reep_p27db7ef7,283833
reep_p4ce48c50,795696
reep_p0db6c0eb,978518
reep_p0ac3f091,907217
reep_pef5b6a53,976313
reep_p65eea51a,978728
reep_pa8149d7b,1403414
reep_p9116562e,196454
reep_paaaeb502,1010231
reep_p055f103c,107414
reep_p0ec54dbc,990201
reep_pac27293a,877299
reep_p4e03fdcc,785512
reep_pa42fa4ab,962012
reep_p36167511,1049534
reep_pcd74d20a,1003339
reep_pbaf3cd7f,118204
reep_pd119b9dd,303258
reep_p0a0b138d,1014561
reep_p10c08822,1049669
reep_p3410045b,305282
reep_p8e6b19c0,845930
reep_p8b5745c5,848276
reep_p29277eca,845273
reep_pfbffb5b7,1036004
reep_p284bbd0a,355796
reep_p91cff66a,1019312
reep_pa846fd00,838805
reep_p746f1156,1092638
reep_p7a552bf6,920514
reep_pb28e1483,227894
reep_pa5bc5fb4,1002506
reep_pa8c5187d,770253
reep_p705afca1,844096
reep_p85e0aef7,281253
reep_p196396e8,818481
reep_p292a15bc,1006509
reep_p279943f7,822749
reep_pe4d4089c,1002920
reep_p2b4280e4,1187275
reep_p485c727d,1518931
reep_pc1ab7cc2,344847
reep_p85859c06,889785
reep_pa9b8832f,250223
reep_pfe208375,152077
reep_pe02c2444,879802
reep_p235aa6ba,37224
reep_p47c8bd95,1218056
reep_p933e5e85,935564
reep_p4a945fc6,227672
reep_p9eab4f3b,103045
reep_p08299ab4,1144138
reep_pc767f199,42694
reep_pb9f0b33d,138530
reep_p1a7601d5,925740
reep_p06b8934e,804770
reep_p424cf877,928021
reep_p2839d9ec,832868
reep_p6eecd03a,354046
reep_p74142ef5,296438
reep_p02d7a582,927407
reep_pbea070a0,954836
reep_pe002e305,1035986
reep_p12f4c22b,1105688
reep_p08ee6aba,936184
reep_p2b060a9f,842253
